"Carryover [kg](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 23.07.14, 10:22:56"


22
Time [s],Carryover [kg]
-20.1561,-0.0159236,
-7.38112,-0.0159236,
6.03265,0.0159236,
22.6402,0.0159236,
39.8864,0.748408,
55.2165,1.56051,
69.2690,2.35669,
81.4053,3.02548,
98.0128,4.14013,
115.259,5.23885,
138.254,6.84713,
159.972,8.45541,
175.302,9.52229,
179.773,10.6369,
266.004,10.5732,
308.801,10.6051,
405.252,10.6051,
531.086,10.5892,
632.009,10.6051,
692.051,10.6051,
761.675,10.5892,
795.529,10.6210,
