"Temperature [degC](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 22.07.14, 15:34:04"


37
Time [s],Temperature [degC]
-19.9387,753.094,
-7.80665,750.521,
-0.143413,751.790,
11.3590,777.351,
32.4428,811.851,
54.8009,837.398,
68.8539,851.446,
89.2922,864.208,
118.032,876.959,
133.359,880.775,
168.481,883.288,
183.808,887.105,
264.900,866.541,
317.254,840.898,
360.030,816.547,
406.639,793.469,
445.582,765.287,
496.016,724.301,
554.751,682.027,
578.372,662.815,
611.566,624.409,
635.820,589.852,
665.818,541.220,
684.323,501.554,
693.895,478.524,
695.144,391.566,
695.749,286.706,
695.730,226.604,
695.713,172.895,
697.622,152.433,
702.726,137.081,
709.747,126.842,
746.146,128.074,
782.543,125.470,
810.002,125.435,
831.074,125.408,
852.786,125.380,
