"Temperature [degC](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 23.07.14, 10:06:26"


41
Time [s],Temperature [degC]
-18.9719,748.857,
-12.6001,752.711,
-0.170813,743.835,
1.74238,738.741,
2.70913,697.929,
3.99148,668.598,
11.0097,638.015,
20.2492,641.881,
34.2623,668.726,
48.2760,693.021,
65.7955,714.779,
84.2739,725.062,
95.4243,732.762,
113.258,771.103,
130.152,748.216,
146.403,745.734,
163.291,745.806,
179.543,742.048,
187.831,728.053,
221.939,679.728,
251.902,636.488,
267.521,616.147,
286.965,590.719,
297.805,566.530,
318.530,515.598,
323.956,483.733,
325.884,422.517,
327.501,331.963,
327.852,210.790,
328.507,144.467,
329.469,120.236,
341.895,125.391,
353.366,125.440,
379.495,120.449,
408.810,121.849,
426.973,119.375,
458.519,116.958,
481.461,118.331,
502.173,118.419,
520.972,118.499,
541.047,118.585,
