"Temperature [degC](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 23.07.14, 10:04:05"


27
Time [s],Temperature [degC]
-19.2747,688.907,
20.5560,686.525,
41.5863,686.615,
82.3678,703.370,
113.273,716.256,
135.257,724.003,
170.624,729.255,
199.302,730.653,
234.673,720.599,
259.530,710.500,
294.904,692.794,
330.917,668.712,
358.963,647.148,
402.628,603.966,
467.971,521.336,
497.298,474.266,
509.413,451.359,
512.605,430.964,
513.893,378.673,
515.507,302.150,
518.071,243.487,
521.268,206.511,
526.056,173.368,
533.071,154.265,
540.086,137.713,
546.459,133.914,
549.646,133.927,
