"Temperature [degC](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 23.07.14, 10:14:35"


23
Time [s],Temperature [degC]
-20.9651,101.315,
-14.7957,71.8763,
-8.58773,84.4434,
-3.93155,71.5017,
-2.61598,68.8375,
1.41233,55.1340,
7.26984,47.5230,
14.3504,43.7198,
36.7392,41.4482,
67.4135,40.4502,
115.980,38.9548,
158.785,38.3444,
206.067,37.3558,
245.030,37.3778,
299.971,36.7742,
345.322,36.7998,
408.560,36.7086,
455.190,36.6080,
515.871,36.6422,
573.997,36.6750,
639.791,36.4583,
745.183,36.6446,
794.366,36.6724,
