"Pressure Drop [bar](Time [s]), created by Plot Digitizer, 2.6.6"
"Date: 23.07.14, 10:25:22"


19
Time [s],Pressure Drop [bar]
-15.6632,0.0786463,
-4.80886,0.0781841,
14.3358,0.0787827,
61.5503,0.0815550,
106.233,0.0812466,
166.231,0.0815194,
228.141,0.0823124,
256.207,0.0849977,
326.969,0.0975959,
358.839,0.103879,
404.139,0.106643,
436.023,0.110880,
468.576,0.111028,
542.616,0.111364,
598.784,0.111620,
656.229,0.111881,
727.723,0.111183,
776.229,0.111915,
797.923,0.113037,
